user_id,recency,frequency,monetary,R,F,M,RFM_score,segment
32eb7fde,6,21,40441.96,4,4,5,13,Champions
3301acd7,14,22,28330.99,3,5,4,12,Champions
3305fdab,14,17,17077.11,3,3,2,8,At Risk
3497a88e,15,19,13660.02,3,4,1,8,At Risk
34afe5b1,10,21,38187.68,4,4,5,13,Champions
34d83115,22,25,32441.32,2,5,5,12,Champions
358f7fe5,0,14,16718.18,5,1,2,8,At Risk
35cda7a4,18,19,24668.29,3,4,4,11,Loyal
35f9c737,15,11,25407.74,3,1,4,8,At Risk
370a674b,9,17,39932.64,4,3,5,12,Champions
37c4c0eb,8,19,24131.69,4,4,3,11,Loyal
3948185b,11,20,28495.12,3,4,4,11,Loyal
39499a51,5,19,21295.34,5,4,3,12,Champions
395acb25,14,17,18081.98,3,3,2,8,At Risk
3a60d90f,1,16,10600.21,5,2,1,8,At Risk
3c282fb2,14,21,34119.46,3,4,5,12,Champions
3c8d6bf0,25,18,22664.38,2,3,3,8,At Risk
3cb2fdfd,39,17,21183.82,1,3,3,7,At Risk
3dca62b5,19,18,20837.11,2,3,3,8,At Risk
3e091850,37,15,24327.22,1,2,3,6,At Risk
3f434b2f,19,14,18995.25,2,1,2,5,Churned
3fa1fb5a,21,20,33822.53,2,4,5,11,Loyal
3ff44d07,9,10,10187.17,4,1,1,6,At Risk
40ef71a9,6,13,9559.66,4,1,1,6,At Risk
4207de91,21,15,22079.46,2,2,3,7,At Risk
422cbcc9,6,17,8380.0,4,3,1,8,At Risk
424c8539,0,18,18565.2,5,3,2,10,Loyal
427baaae,32,16,29676.8,2,2,4,8,At Risk
42a55aff,6,18,21609.69,4,3,3,10,Loyal
42e673ba,13,13,18380.35,3,1,2,6,At Risk
435eac1a,10,11,14517.61,4,1,1,6,At Risk
44116de9,11,18,38018.6,3,3,5,11,Loyal
443b2aa5,36,13,15346.72,1,1,2,4,Churned
44f098db,15,17,11421.63,3,3,1,7,At Risk
45513317,11,19,30428.58,3,4,4,11,Loyal
4599afa4,20,21,19219.53,2,4,2,8,At Risk
4604482d,1,17,16412.02,5,3,2,10,Loyal
46252c1a,30,21,24603.41,2,4,4,10,Loyal
46338114,9,11,11040.73,4,1,1,6,At Risk
4681b457,6,15,10240.92,4,2,1,7,At Risk
46bb3918,0,19,20165.7,5,4,3,12,Champions
476db154,96,13,19110.55,1,1,2,4,Churned
479b95b5,5,15,42856.01,5,2,5,12,Champions
480c9f7b,6,22,23002.07,4,5,3,12,Champions
48dd6bca,21,17,22046.17,2,3,3,8,At Risk
49f88b74,39,20,16558.69,1,4,2,7,At Risk
4b2b2231,83,17,23519.16,1,3,3,7,At Risk
4be014e6,13,22,29433.62,3,5,4,12,Champions
4c20c4ac,14,15,10164.98,3,2,1,6,At Risk
4d41d2d2,22,21,26722.11,2,4,4,10,Loyal
4d4ccd90,6,14,24017.02,4,1,3,8,At Risk
4d6c5331,4,21,18275.86,5,4,2,11,Loyal
4e9041b0,7,23,20456.87,4,5,3,12,Champions
4f47f709,9,13,15933.88,4,1,2,7,At Risk
4fde45a5,7,20,35264.33,4,4,5,13,Champions
50cf8fbf,24,17,23121.99,2,3,3,8,At Risk
5129b6cf,9,15,13423.01,4,2,1,7,At Risk
5167105e,35,12,14553.39,1,1,1,3,Churned
518cf32c,2,13,16018.19,5,1,2,8,At Risk
5194f72a,3,17,19865.01,5,3,3,11,Loyal
5222916f,8,18,31078.77,4,3,5,12,Champions
52a2af82,18,21,21793.75,3,4,3,10,Loyal
52eb1528,7,17,17770.0,4,3,2,9,Loyal
53136e2b,12,21,24057.41,3,4,3,10,Loyal
53abe28b,9,21,31792.73,4,4,5,13,Champions
53bbbbbd,16,19,19545.64,3,4,3,10,Loyal
53e8b349,19,15,19453.58,2,2,2,6,At Risk
548260ab,26,17,38631.55,2,3,5,10,Loyal
5511a6a2,3,14,29462.42,5,1,4,10,Loyal
552dbc97,25,13,7331.29,2,1,1,4,Churned
5588d34c,8,21,17949.11,4,5,2,11,Loyal
55de44b1,31,19,28548.5,2,4,4,10,Loyal
582b3bf5,4,23,65948.23,5,5,5,15,Champions
584fc878,15,23,36530.33,3,5,5,13,Champions
588ea49a,64,11,19234.96,1,1,2,4,Churned
5ba85899,3,16,12092.44,5,2,1,8,At Risk
5bcb938f,31,23,25422.2,2,5,4,11,Loyal
5bdec723,17,16,23367.21,3,2,3,8,At Risk
5c7502f9,2,31,34871.05,5,5,5,15,Champions
5d66cd29,35,21,16229.33,1,5,2,8,At Risk
5dbf1d87,18,18,23515.16,3,3,3,9,Loyal
5df670d2,23,17,18735.75,2,3,2,7,At Risk
5e773e47,3,21,28490.68,5,5,4,14,Champions
5eefdf6a,44,23,33451.9,1,5,5,11,Loyal
5f2571e4,28,15,22856.73,2,2,3,7,At Risk
5f5baae6,14,21,29552.31,3,5,4,12,Champions
5ffe47bc,27,17,29774.3,2,3,4,9,Loyal
6032e263,33,19,16236.53,1,4,2,7,At Risk
60e90225,4,16,15071.83,5,2,2,9,Loyal
60f454bc,27,14,15388.33,2,1,2,5,Churned
61932481,10,14,12130.33,4,1,1,6,At Risk
63123674,11,24,32917.08,3,5,5,13,Champions
63356349,4,20,15240.24,5,4,2,11,Loyal
63e8548f,11,18,40114.71,3,3,5,11,Loyal
6412998b,13,23,40901.52,3,5,5,13,Champions
648b9d2a,13,23,20404.93,3,5,3,11,Loyal
64ae40b8,15,19,50103.33,3,4,5,12,Champions
65d8adb7,28,13,19929.41,2,1,3,6,At Risk
6669b10f,7,18,18438.31,4,3,2,9,Loyal
669df094,11,15,14137.65,3,2,1,6,At Risk
66f26c09,21,24,27475.13,2,5,4,11,Loyal
677cc58c,4,14,19339.36,5,1,2,8,At Risk
678692bc,24,13,44567.82,2,1,5,8,At Risk
686caf49,2,17,26590.18,5,3,4,12,Champions
68b20128,37,12,57169.56,1,1,5,7,At Risk
68c90515,10,15,21162.21,4,2,3,9,Loyal
694368e7,42,18,20188.33,1,3,3,7,At Risk
697332a4,29,15,18689.71,2,2,2,6,At Risk
69f93c90,15,17,29951.25,3,3,4,10,Loyal
6acf9636,5,13,12012.11,5,1,1,7,At Risk
6ad5c1ea,4,22,26332.57,5,5,4,14,Champions
6c09d325,28,15,9395.34,2,2,1,5,Churned
6c31f4f4,51,14,8868.16,1,1,1,3,Churned
6c8495c7,5,15,13140.84,5,2,1,8,At Risk
6c99a65c,3,27,34360.05,5,5,5,15,Champions
6f1c35f2,0,15,12080.95,5,2,1,8,At Risk
7084335d,0,14,11976.51,5,1,1,7,At Risk
70a9cae3,18,15,28088.9,3,2,4,9,Loyal
72641234,21,17,20347.6,2,3,3,8,At Risk
72770348,6,21,36157.46,4,5,5,14,Champions
73a87b13,27,12,28460.26,2,1,4,7,At Risk
73d546ec,8,18,14557.4,4,3,1,8,At Risk
7450090c,36,20,28477.45,1,4,4,9,Loyal
762853f4,73,16,21319.41,1,2,3,6,At Risk
76d7b87c,26,17,17040.65,2,3,2,7,At Risk
779fb77e,11,15,14584.92,3,2,2,7,At Risk
785bbb0d,16,17,17510.66,3,3,2,8,At Risk
78f36abf,15,15,8382.56,3,2,1,6,At Risk
78f965f9,26,12,9310.99,2,1,1,4,Churned
794c7cde,51,20,25927.64,1,4,4,9,Loyal
795f9108,4,28,34419.53,5,5,5,15,Champions
7962ebdc,43,17,27198.17,1,3,4,8,At Risk
7a1f7d85,1,18,26356.72,5,3,4,12,Champions
7bbe215e,9,15,19180.38,4,2,2,8,At Risk
7c4ffcd3,11,18,26395.53,3,3,4,10,Loyal
7c628e69,0,12,22978.47,5,1,3,9,Loyal
7cb5f939,18,13,17055.46,3,1,2,6,At Risk
7d8b2222,21,17,24197.49,2,3,3,8,At Risk
7da4df2e,32,12,30853.29,2,1,4,7,At Risk
7daf1821,17,18,25299.99,3,3,4,10,Loyal
7dd273fd,22,20,33218.14,2,4,5,11,Loyal
7edbe180,95,13,10924.99,1,1,1,3,Churned
7f816bfe,2,28,33099.18,5,5,5,15,Champions
80087a17,13,30,28348.4,3,5,4,12,Champions
8022a5b9,9,24,16036.63,4,5,2,11,Loyal
818a6565,17,9,13022.02,3,1,1,5,Churned
81b83d80,17,18,33464.94,3,3,5,11,Loyal
83277b76,81,13,20761.71,1,1,3,5,Churned
84dfa6ed,22,25,52640.68,2,5,5,12,Champions
859df349,7,17,44845.55,4,3,5,12,Champions
85db0208,20,18,22963.1,2,3,3,8,At Risk
8857f4aa,6,21,33170.06,4,5,5,14,Champions
8858616b,18,21,17359.89,3,5,2,10,Loyal
88db6f87,5,16,13309.32,5,2,1,8,At Risk
896e2ce3,37,13,12799.41,1,1,1,3,Churned
897775ef,2,25,28848.34,5,5,4,14,Champions
89ce3566,76,12,21043.88,1,1,3,5,Churned
8a3482d0,0,16,29762.8,5,2,4,11,Loyal
8a696df1,30,12,23666.01,2,1,3,6,At Risk
8a6fac72,18,18,10467.46,3,3,1,7,At Risk
8a8ec50d,21,11,11309.08,2,1,1,4,Churned
8b3d0348,13,20,30436.39,3,4,4,11,Loyal
8b66466e,103,14,13096.96,1,1,1,3,Churned
8ba69995,56,20,18228.4,1,4,2,7,At Risk
8c1acb31,44,9,6660.97,1,1,1,3,Churned
8cc6a0b5,63,19,27991.56,1,4,4,9,Loyal
8d9f6c4a,37,18,27144.97,1,3,4,8,At Risk
8dc8917f,9,14,10882.19,4,1,1,6,At Risk
8e04c383,9,21,31762.25,4,5,5,14,Champions
8fb5b917,17,26,28371.52,3,5,4,12,Champions
907862a5,12,18,16042.4,3,3,2,8,At Risk
90df148b,19,19,21634.42,2,4,3,9,Loyal
90e71e28,17,21,30677.83,3,5,4,12,Champions
91942810,20,20,22491.89,2,4,3,9,Loyal
91f74973,43,13,13200.89,1,1,1,3,Churned
92bb4898,2,18,23762.88,5,3,3,11,Loyal
92d4b8e1,46,10,15856.63,1,1,2,4,Churned
95808bf2,10,24,33728.97,4,5,5,14,Champions
95d3b906,10,11,9894.34,4,1,1,6,At Risk
961174a9,60,13,26464.45,1,1,4,6,At Risk
96567c36,5,22,24174.1,5,5,3,13,Champions
9716a58a,12,18,32031.29,3,3,5,11,Loyal
97b8c975,11,19,10334.7,3,4,1,8,At Risk
97d93eb5,22,19,25036.08,2,4,4,10,Loyal
98f77ab6,40,22,32451.58,1,5,5,11,Loyal
99ed577c,1,23,42831.56,5,5,5,15,Champions
9a5a0af2,6,15,29438.4,4,2,4,10,Loyal
9a7b3f49,0,21,27404.72,5,5,4,14,Champions
9b0d8aab,4,17,27511.98,5,3,4,12,Champions
9b399960,24,15,22698.66,2,2,3,7,At Risk
9b8657f8,2,15,8413.08,5,2,1,8,At Risk
9bc96550,12,20,24534.03,3,4,4,11,Loyal
9c4dbe84,43,16,88513.63,1,2,5,8,At Risk
9c63c3f6,13,23,25678.03,3,5,4,12,Champions
9c7d04f3,0,18,17150.96,5,3,2,10,Loyal
9cdfbcb6,0,16,24031.48,5,2,3,10,Loyal
9ce72b41,1,19,29242.81,5,4,4,13,Champions
9e5f8c67,46,14,14598.32,1,1,2,4,Churned
9eecea90,0,18,18562.66,5,3,2,10,Loyal
9f103a92,14,22,18494.65,3,5,2,10,Loyal
9f3678ef,30,13,9957.38,2,1,1,4,Churned
a0fbb6ce,6,19,28419.48,4,4,4,12,Champions
a1645fa0,0,16,17329.64,5,2,2,9,Loyal
a183e5ea,4,22,16509.82,5,5,2,12,Champions
a240b5b2,54,23,32336.17,1,5,5,11,Loyal
a2e3d7ba,20,23,29733.0,2,5,4,11,Loyal
a3811742,30,17,27332.73,2,3,4,9,Loyal
a3a7c02e,30,8,11827.49,2,1,1,4,Churned
a40d121d,28,17,18492.75,2,3,2,7,At Risk
a43118ff,0,13,9573.05,5,1,1,7,At Risk
a4cb9d76,9,26,29473.46,4,5,4,13,Champions
a5bc9869,20,13,16853.88,2,1,2,5,Churned
a777bf47,4,17,39210.64,5,3,5,13,Champions
a79ca999,54,16,30703.62,1,2,4,7,At Risk
a7d66242,62,14,11803.79,1,1,1,3,Churned
a7ef6676,14,17,34772.63,3,3,5,11,Loyal
a8151073,10,19,24750.64,4,4,4,12,Champions
a8451a98,25,22,51397.76,2,5,5,12,Champions
a8917d55,11,13,13126.71,3,1,1,5,Churned
a95b3c9f,55,16,10713.4,1,2,1,4,Churned
a963c3de,32,20,16967.5,2,4,2,8,At Risk
a9d51108,5,18,18372.44,5,3,2,10,Loyal
aa8a5314,83,21,19454.88,1,5,2,8,At Risk
aaaf824b,17,25,23877.39,3,5,3,11,Loyal
ab27eec3,14,18,45816.65,3,3,5,11,Loyal
ac026fd1,13,15,14117.19,3,2,1,6,At Risk
ac61794c,2,20,22256.28,5,4,3,12,Champions
ac7a27c9,32,17,15188.05,2,3,2,7,At Risk
acf8344a,10,17,33694.23,4,3,5,12,Champions
ad17830d,9,17,21083.2,4,3,3,10,Loyal
ad56e68e,2,15,10040.98,5,2,1,8,At Risk
ade79109,0,18,14553.69,5,3,1,9,Loyal
ae5dcf6b,34,17,25720.15,1,3,4,8,At Risk
af3a5cec,6,20,22450.83,4,4,3,11,Loyal
b0c05b9b,49,10,18280.41,1,1,2,4,Churned
b1e455b0,49,22,43379.69,1,5,5,11,Loyal
b25678fd,9,17,27755.23,4,3,4,11,Loyal
b2ee8930,26,11,13752.18,2,1,1,4,Churned
b5733749,0,14,24299.54,5,1,3,9,Loyal
b5817c53,7,16,11127.93,4,2,1,7,At Risk
b5b0e764,12,19,14681.33,3,4,2,9,Loyal
b5d40123,56,15,13680.92,1,2,1,4,Churned
b6d7d186,11,16,14987.2,3,2,2,7,At Risk
b6df9ba8,16,14,10544.01,3,1,1,5,Churned
b71c0c48,66,17,19988.61,1,3,3,7,At Risk
b76c5a48,30,18,22936.23,2,3,3,8,At Risk
b76ea0f9,23,17,16284.56,2,3,2,7,At Risk
b8811844,11,20,19837.45,3,4,3,10,Loyal
b9407fe3,3,14,9543.43,5,1,1,7,At Risk
b97895ea,13,18,22722.27,3,3,3,9,Loyal
b9797682,5,17,31658.76,5,3,5,13,Champions
b9d9fe74,33,17,26761.19,1,3,4,8,At Risk
ba4f0d88,4,11,19734.62,5,1,3,9,Loyal
ba563d74,5,25,35283.48,5,5,5,15,Champions
bb46800d,1,19,15250.3,5,4,2,11,Loyal
bb681b6c,1,16,15113.91,5,2,2,9,Loyal
bc514c6b,33,16,25506.18,1,2,4,7,At Risk
bc8240e6,1,16,15491.65,5,2,2,9,Loyal
be354460,3,17,19179.49,5,3,2,10,Loyal
bfdf61db,20,24,19149.56,2,5,2,9,Loyal
bff5bca9,20,22,30868.16,2,5,4,11,Loyal
c044cdda,20,24,21434.21,2,5,3,10,Loyal
c08ae8e3,1,23,48419.92,5,5,5,15,Champions
c12078da,2,19,14405.21,5,4,1,10,Loyal
c1230c7b,3,20,20087.16,5,4,3,12,Champions
c1c0235f,11,18,27592.1,3,3,4,10,Loyal
c229ce67,4,17,24214.59,5,3,3,11,Loyal
c2377ba1,9,11,8138.05,4,1,1,6,At Risk
c29cd48a,7,13,21431.17,4,1,3,8,At Risk
c2e6ff15,32,14,14867.18,2,2,2,6,At Risk
c3499f3c,18,23,23990.12,3,5,3,11,Loyal
c4f22a02,3,14,16214.62,5,2,2,9,Loyal
c5896e99,4,14,25276.37,5,2,4,11,Loyal
c6069914,8,9,11629.56,4,1,1,6,At Risk
c6abdec2,7,17,17192.55,4,3,2,9,Loyal
c843d8aa,29,13,18572.65,2,1,2,5,Churned
c85c4019,23,25,29180.91,2,5,4,11,Loyal
c88c81f2,10,18,24409.51,4,3,4,11,Loyal
c8c605e0,9,16,16031.29,4,2,2,8,At Risk
c9987157,41,13,14014.5,1,1,1,3,Churned
c9bbcf0a,25,22,21038.43,2,5,3,10,Loyal
ca2c4628,2,22,39867.52,5,5,5,15,Champions
ca7c5c96,44,21,29113.38,1,5,4,10,Loyal
caca9025,3,18,37066.6,5,3,5,13,Champions
cadbc43e,1,16,24358.01,5,2,3,10,Loyal
caf76023,8,15,13635.5,4,2,1,7,At Risk
cb0a40d3,8,18,19112.91,4,3,2,9,Loyal
cb1e1776,7,22,18605.73,4,5,2,11,Loyal
cc17b8b2,9,20,41435.2,4,4,5,13,Champions
cc410339,21,16,11057.55,2,2,1,5,Churned
cc9e6d51,10,18,17238.66,4,3,2,9,Loyal
ce84d7d4,8,11,10193.31,4,1,1,6,At Risk
d0985f7f,24,24,29699.32,2,5,4,11,Loyal
d0d0a077,15,14,19006.27,3,2,2,7,At Risk
d0e7553c,37,9,8468.21,1,1,1,3,Churned
d1197b00,24,15,10710.43,2,2,1,5,Churned
d17cf0b5,25,16,31647.3,2,2,5,9,Loyal
d18cc060,2,19,26137.61,5,4,4,13,Champions
d1e03a49,10,14,23273.12,4,2,3,9,Loyal
d1fbe090,1,23,28164.55,5,5,4,14,Champions
d3b6fbe2,38,20,38941.04,1,4,5,10,Loyal
d3ed7994,7,25,13431.03,4,5,1,10,Loyal
d3edcdab,34,15,11671.01,1,2,1,4,Churned
d41fffdf,6,23,28110.29,4,5,4,13,Champions
d4a63f3d,10,21,40393.48,4,5,5,14,Champions
d6571dc3,10,20,43521.26,4,4,5,13,Champions
d7627a0d,9,22,27130.14,4,5,4,13,Champions
d76a6d97,12,13,21309.96,3,1,3,7,At Risk
d850196c,58,22,21967.11,1,5,3,9,Loyal
d8e12a02,13,15,24248.98,3,2,3,8,At Risk
d9a29e90,26,16,35674.39,2,2,5,9,Loyal
d9f70155,0,19,14106.32,5,4,1,10,Loyal
dad6ff18,39,16,39595.65,1,2,5,8,At Risk
dae3768f,27,18,26695.69,2,3,4,9,Loyal
dc47ca8e,25,22,30928.57,2,5,5,12,Champions
dca3317c,0,16,44036.7,5,2,5,12,Champions
dccce346,16,20,14437.96,3,4,1,8,At Risk
dd6adec7,10,13,15470.37,4,1,2,7,At Risk
de3fad13,14,18,22491.29,3,4,3,10,Loyal
dea10f1f,43,14,12379.12,1,2,1,4,Churned
df901213,9,12,26790.25,4,1,4,9,Loyal
df95915a,33,24,21041.67,1,5,3,9,Loyal
dfd515a9,14,26,30459.36,3,5,4,12,Champions
e0372fe5,0,22,22069.98,5,5,3,13,Champions
e1c0969b,39,14,19388.73,1,2,2,5,Churned
e238cd20,1,23,32480.8,5,5,5,15,Champions
e2f336bd,18,13,11191.38,3,1,1,5,Churned
e32250a5,10,19,18396.31,4,4,2,10,Loyal
e3da1856,17,18,30163.75,3,4,4,11,Loyal
e3dcb151,26,18,34040.64,2,4,5,11,Loyal
e3ff9d5c,6,25,26765.6,4,5,4,13,Champions
e5a229d9,47,14,26599.42,1,2,4,7,At Risk
e5f3b4ee,66,16,19715.9,1,2,3,6,At Risk
e6382c37,6,17,35340.1,4,3,5,12,Champions
e7b02c07,0,26,33737.74,5,5,5,15,Champions
e7b4325e,7,21,30995.7,4,5,5,14,Champions
e8014ea4,66,8,10348.95,1,1,1,3,Churned
e87c6a09,15,18,48309.29,3,4,5,12,Champions
e8fb747b,19,16,29921.62,2,2,4,8,At Risk
e92d3961,8,21,21642.39,4,5,3,12,Champions
e97b618f,30,17,26856.98,2,3,4,9,Loyal
e98e3a3a,9,20,17825.05,4,4,2,10,Loyal
ea7d1a83,69,17,15452.31,1,3,2,6,At Risk
ea9542e4,4,16,23790.49,5,2,3,10,Loyal
eacf7f6d,11,17,18124.72,3,3,2,8,At Risk
eb61d784,1,27,42084.53,5,5,5,15,Champions
ebcd7acf,19,16,17954.51,2,2,2,6,At Risk
ec573e5a,9,21,29675.26,4,5,4,13,Champions
ec5f97ba,2,25,65415.29,5,5,5,15,Champions
ec75de58,16,14,36703.93,3,2,5,10,Loyal
ec83a801,6,21,27587.79,4,5,4,13,Champions
ed3c68eb,8,22,19447.55,4,5,2,11,Loyal
edc60cb0,2,15,19775.22,5,2,3,10,Loyal
ede25713,10,17,13203.82,4,3,1,8,At Risk
ef948715,24,16,44149.27,2,2,5,9,Loyal
efddd67a,54,16,13791.29,1,2,1,4,Churned
f041e000,9,17,19279.59,4,3,2,9,Loyal
f0c7eccb,19,17,10008.71,2,3,1,6,At Risk
f1aa204d,0,26,34360.61,5,5,5,15,Champions
f21fad6c,8,17,29801.38,4,3,4,11,Loyal
f2347f50,24,18,23651.08,2,4,3,9,Loyal
f27c0084,7,18,10699.39,4,4,1,9,Loyal
f2e5d7b9,2,23,78985.99,5,5,5,15,Champions
f34e8536,84,17,46638.1,1,3,5,9,Loyal
f407b698,10,15,11083.88,4,2,1,7,At Risk
f465853c,4,18,21013.86,5,4,3,12,Champions
f5daf899,26,15,11425.19,2,2,1,5,Churned
f6db5c42,29,19,24487.18,2,4,4,10,Loyal
f70ba26e,137,8,7957.52,1,1,1,3,Churned
f716d895,147,11,11202.84,1,1,1,3,Churned
f75d2e1b,68,12,38812.75,1,1,5,7,At Risk
f793a246,17,22,21410.17,3,5,3,11,Loyal
f7ade4fc,31,26,35014.48,2,5,5,12,Champions
f7f4070b,10,20,22454.4,4,4,3,11,Loyal
f80f2287,7,21,28409.88,4,5,4,13,Champions
f81bc99e,3,14,10008.37,5,2,1,8,At Risk
f8996b27,7,22,22380.33,4,5,3,12,Champions
f98056c0,7,17,32201.67,4,3,5,12,Champions
f9b2c3dc,22,17,18553.4,2,3,2,7,At Risk
fa3f38ef,0,19,21197.7,5,4,3,12,Champions
fa647fe5,6,21,26765.52,4,5,4,13,Champions
fb0f88d8,13,17,27948.51,3,3,4,10,Loyal
fd06d7a4,18,11,9228.4,3,1,1,5,Churned
fd2aa8be,19,13,9095.59,2,1,1,4,Churned
fdcf88c5,3,15,14727.86,5,2,2,9,Loyal
fe2b97db,14,18,11425.65,3,4,1,8,At Risk
